taxonID,description,type,language
alien-flora-congo-checklist:taxon:0aa48e873d655207d79e51067c52fe8c,Climber,life form,en
alien-flora-congo-checklist:taxon:0b3f93c4a83e520b5aef2c8ea9bbbb1d,America,native range,en
alien-flora-congo-checklist:taxon:0b3f93c4a83e520b5aef2c8ea9bbbb1d,Annual herb,life form,en
alien-flora-congo-checklist:taxon:0c85679fd4c146c2e5f423482fdf8215,America,native range,en
alien-flora-congo-checklist:taxon:0c85679fd4c146c2e5f423482fdf8215,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:0ce8bbdf208c919b3e02862ab09f23b8,Asia,native range,en
alien-flora-congo-checklist:taxon:0ce8bbdf208c919b3e02862ab09f23b8,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:0d8b4cf34a555efdfcf68ef7cac07ae1,America,native range,en
alien-flora-congo-checklist:taxon:0d8b4cf34a555efdfcf68ef7cac07ae1,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:0dbc671a7053e62e54434a6417e55678,Multiple,native range,en
alien-flora-congo-checklist:taxon:0dbc671a7053e62e54434a6417e55678,Annual herb,life form,en
alien-flora-congo-checklist:taxon:0eb4d2429d326e7cb2b3de5132430b4f,Oceania,native range,en
alien-flora-congo-checklist:taxon:0eb4d2429d326e7cb2b3de5132430b4f,Tree,life form,en
alien-flora-congo-checklist:taxon:0f8cd19b9b6c193a6bb812a046920b23,Multiple,native range,en
alien-flora-congo-checklist:taxon:0f8cd19b9b6c193a6bb812a046920b23,Annual herb,life form,en
alien-flora-congo-checklist:taxon:105428d1c2f78adb086c3d45daa5c361,America,native range,en
alien-flora-congo-checklist:taxon:105428d1c2f78adb086c3d45daa5c361,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:119ae421bba744276c2086ce865cfde1,America,native range,en
alien-flora-congo-checklist:taxon:119ae421bba744276c2086ce865cfde1,Shrub,life form,en
alien-flora-congo-checklist:taxon:11ddf9dacac608235e74864ba9db3a6b,America,native range,en
alien-flora-congo-checklist:taxon:11ddf9dacac608235e74864ba9db3a6b,Annual herb,life form,en
alien-flora-congo-checklist:taxon:11fb62656eec96dea2237c845f41d5a9,Multiple,native range,en
alien-flora-congo-checklist:taxon:11fb62656eec96dea2237c845f41d5a9,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:12549ca99e09eafa82e8c8e073246eac,Asia,native range,en
alien-flora-congo-checklist:taxon:12549ca99e09eafa82e8c8e073246eac,Annual herb,life form,en
alien-flora-congo-checklist:taxon:129ff6a27fe169e61fb0601354db4239,America,native range,en
alien-flora-congo-checklist:taxon:129ff6a27fe169e61fb0601354db4239,Shrub,life form,en
alien-flora-congo-checklist:taxon:135395503fc235f4a808d66d4bc25785,America,native range,en
alien-flora-congo-checklist:taxon:135395503fc235f4a808d66d4bc25785,Annual herb,life form,en
alien-flora-congo-checklist:taxon:138549a713a89f4d09e689dbd68f6e9e,Asia,native range,en
alien-flora-congo-checklist:taxon:138549a713a89f4d09e689dbd68f6e9e,Climber,life form,en
alien-flora-congo-checklist:taxon:14cc3bb18537cdf529cb8dde5a42725c,America,native range,en
alien-flora-congo-checklist:taxon:14cc3bb18537cdf529cb8dde5a42725c,Annual herb,life form,en
alien-flora-congo-checklist:taxon:169e8ec574361cfc269099f04761040a,America,native range,en
alien-flora-congo-checklist:taxon:169e8ec574361cfc269099f04761040a,Shrub,life form,en
alien-flora-congo-checklist:taxon:178e15be3deb16b3cd3bde05ba41b084,America,native range,en
alien-flora-congo-checklist:taxon:178e15be3deb16b3cd3bde05ba41b084,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:18299add942ac41e69ad6dbc44512f0a,Asia,native range,en
alien-flora-congo-checklist:taxon:18299add942ac41e69ad6dbc44512f0a,Tree,life form,en
alien-flora-congo-checklist:taxon:184a794ece0753e9bbfc7b3b7f7ba616,Europe,native range,en
alien-flora-congo-checklist:taxon:184a794ece0753e9bbfc7b3b7f7ba616,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:18724e80ac954315f911927e1f20ceff,America,native range,en
alien-flora-congo-checklist:taxon:18724e80ac954315f911927e1f20ceff,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:18b3d5a84d52595357c8ad1fb59819a5,America,native range,en
alien-flora-congo-checklist:taxon:18b3d5a84d52595357c8ad1fb59819a5,Shrub,life form,en
alien-flora-congo-checklist:taxon:18da277a2016baf5ac5cc7a48eb396c2,America,native range,en
alien-flora-congo-checklist:taxon:18da277a2016baf5ac5cc7a48eb396c2,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:18fd92eead543fd545639cc23c6ccb8a,Multiple,native range,en
alien-flora-congo-checklist:taxon:18fd92eead543fd545639cc23c6ccb8a,Annual herb,life form,en
alien-flora-congo-checklist:taxon:197706ca9c96bfd93a14fce8b0b7f599,America,native range,en
alien-flora-congo-checklist:taxon:197706ca9c96bfd93a14fce8b0b7f599,Shrub,life form,en
alien-flora-congo-checklist:taxon:19af79ba39a27a1a5e62544ce11c57fb,America,native range,en
alien-flora-congo-checklist:taxon:19af79ba39a27a1a5e62544ce11c57fb,Tree,life form,en
alien-flora-congo-checklist:taxon:19c9d38ad7d80670a5c2700b9785b767,Africa,native range,en
alien-flora-congo-checklist:taxon:19c9d38ad7d80670a5c2700b9785b767,Annual herb,life form,en
alien-flora-congo-checklist:taxon:19d57a88805020a5e6903eef5090adc7,America,native range,en
alien-flora-congo-checklist:taxon:19d57a88805020a5e6903eef5090adc7,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:19f037a613b7ffdc49edfbd42e411d03,America,native range,en
alien-flora-congo-checklist:taxon:19f037a613b7ffdc49edfbd42e411d03,Shrub,life form,en
alien-flora-congo-checklist:taxon:19f1ff638ebc88e1f049c1bbef156bd1,Multiple,native range,en
alien-flora-congo-checklist:taxon:19f1ff638ebc88e1f049c1bbef156bd1,Shrub,life form,en
alien-flora-congo-checklist:taxon:1a02cc2003c23692359d1580102f4124,Asia,native range,en
alien-flora-congo-checklist:taxon:1a02cc2003c23692359d1580102f4124,Climber,life form,en
alien-flora-congo-checklist:taxon:1a4d1a68dca66c060cf543c57ae3286d,America,native range,en
alien-flora-congo-checklist:taxon:1a4d1a68dca66c060cf543c57ae3286d,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:1a9ed6a1ed0ed78e5bdfab0c38189fb9,Asia,native range,en
alien-flora-congo-checklist:taxon:1a9ed6a1ed0ed78e5bdfab0c38189fb9,Annual herb,life form,en
alien-flora-congo-checklist:taxon:1aaa6f3e1144dbe7fd96563852b7a79d,America,native range,en
alien-flora-congo-checklist:taxon:1aaa6f3e1144dbe7fd96563852b7a79d,Annual herb,life form,en
alien-flora-congo-checklist:taxon:1afa7eac94ad54d9ca9ab135fcffba38,Africa,native range,en
alien-flora-congo-checklist:taxon:1afa7eac94ad54d9ca9ab135fcffba38,Annual herb,life form,en
alien-flora-congo-checklist:taxon:1b42d79896c69c0c6482324c59c29bf4,Asia,native range,en
alien-flora-congo-checklist:taxon:1b42d79896c69c0c6482324c59c29bf4,Tree,life form,en
alien-flora-congo-checklist:taxon:1d6ff724a3618e7c3622967898e54113,America,native range,en
alien-flora-congo-checklist:taxon:1d6ff724a3618e7c3622967898e54113,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:1d772d77c14965ea69f96548e2cbc03b,America,native range,en
alien-flora-congo-checklist:taxon:1d772d77c14965ea69f96548e2cbc03b,Annual herb,life form,en
alien-flora-congo-checklist:taxon:1da1d68f7094afcd6bb78bad3779c786,Oceania,native range,en
alien-flora-congo-checklist:taxon:1da1d68f7094afcd6bb78bad3779c786,Tree,life form,en
alien-flora-congo-checklist:taxon:1dc8be3b7dc165aa5adba1e83ea158eb,America,native range,en
alien-flora-congo-checklist:taxon:1dc8be3b7dc165aa5adba1e83ea158eb,Annual herb,life form,en
alien-flora-congo-checklist:taxon:1de4dcbbc075ad8bce86c63825c0b303,Asia,native range,en
alien-flora-congo-checklist:taxon:1de4dcbbc075ad8bce86c63825c0b303,Climber,life form,en
alien-flora-congo-checklist:taxon:1f1b7100ee8484d91ba196ad7adb6776,Asia,native range,en
alien-flora-congo-checklist:taxon:1f1b7100ee8484d91ba196ad7adb6776,Annual herb,life form,en
alien-flora-congo-checklist:taxon:1f4528950605c3f66eaf34952caa4700,Multiple,native range,en
alien-flora-congo-checklist:taxon:1f4528950605c3f66eaf34952caa4700,Annual herb,life form,en
alien-flora-congo-checklist:taxon:1f6c831730b8f450abbdc9f368f7448b,America,native range,en
alien-flora-congo-checklist:taxon:1f6c831730b8f450abbdc9f368f7448b,Climber,life form,en
alien-flora-congo-checklist:taxon:206be90d56b888c2db598c7e77d67632,Africa,native range,en
alien-flora-congo-checklist:taxon:206be90d56b888c2db598c7e77d67632,Shrub,life form,en
alien-flora-congo-checklist:taxon:213c535d3fc3016ed1009372d8faa098,Asia,native range,en
alien-flora-congo-checklist:taxon:213c535d3fc3016ed1009372d8faa098,Annual herb,life form,en
alien-flora-congo-checklist:taxon:21838f0d3776c5b80c8b4ee44f0b86b5,Asia,native range,en
alien-flora-congo-checklist:taxon:21838f0d3776c5b80c8b4ee44f0b86b5,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:2306d6326c614450d20981b40a4b742c,America,native range,en
alien-flora-congo-checklist:taxon:2306d6326c614450d20981b40a4b742c,Shrub,life form,en
alien-flora-congo-checklist:taxon:231432fd157463575806e7863e8e1e56,America,native range,en
alien-flora-congo-checklist:taxon:231432fd157463575806e7863e8e1e56,Shrub,life form,en
alien-flora-congo-checklist:taxon:233f4672cdb30f5b02c28d5b70d7315d,America,native range,en
alien-flora-congo-checklist:taxon:233f4672cdb30f5b02c28d5b70d7315d,Tree,life form,en
alien-flora-congo-checklist:taxon:24b99f0459d69c969e8e2262e1c242a2,Asia,native range,en
alien-flora-congo-checklist:taxon:24b99f0459d69c969e8e2262e1c242a2,Annual herb,life form,en
alien-flora-congo-checklist:taxon:24d1e9cd07ecdc89fbd4a8f2b4d7b3a9,Multiple,native range,en
alien-flora-congo-checklist:taxon:24d1e9cd07ecdc89fbd4a8f2b4d7b3a9,Annual herb,life form,en
alien-flora-congo-checklist:taxon:24fdcb7cc85afb14d23b4c5b5d227131,America,native range,en
alien-flora-congo-checklist:taxon:24fdcb7cc85afb14d23b4c5b5d227131,Annual herb,life form,en
alien-flora-congo-checklist:taxon:25501228ebc4ef2176168e587a11a3d4,Africa,native range,en
alien-flora-congo-checklist:taxon:25501228ebc4ef2176168e587a11a3d4,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:257f50fd701d41f96e9e11070f58d703,Africa,native range,en
alien-flora-congo-checklist:taxon:257f50fd701d41f96e9e11070f58d703,Shrub,life form,en
alien-flora-congo-checklist:taxon:272e33b292d3d83a44f462add71e9a07,Asia,native range,en
alien-flora-congo-checklist:taxon:272e33b292d3d83a44f462add71e9a07,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:27ed880f639ee7014346a63b1653ff7d,America,native range,en
alien-flora-congo-checklist:taxon:27ed880f639ee7014346a63b1653ff7d,Annual herb,life form,en
alien-flora-congo-checklist:taxon:2906dc35f1edc82021e69684bc1dad6c,Asia,native range,en
alien-flora-congo-checklist:taxon:2906dc35f1edc82021e69684bc1dad6c,Tree,life form,en
alien-flora-congo-checklist:taxon:29aea30fb66dbda892ee741e11182130,Asia,native range,en
alien-flora-congo-checklist:taxon:29aea30fb66dbda892ee741e11182130,Tree,life form,en
alien-flora-congo-checklist:taxon:2a11ccfba90d7bb344b0179a71aa6bba,America,native range,en
alien-flora-congo-checklist:taxon:2a11ccfba90d7bb344b0179a71aa6bba,Climber,life form,en
alien-flora-congo-checklist:taxon:2a354f8c1b62841c84a61c3ea7e926fe,Multiple,native range,en
alien-flora-congo-checklist:taxon:2a354f8c1b62841c84a61c3ea7e926fe,Annual herb,life form,en
alien-flora-congo-checklist:taxon:2a79abe41f09ae06b73d8c4ac419cc58,Asia,native range,en
alien-flora-congo-checklist:taxon:2a79abe41f09ae06b73d8c4ac419cc58,Shrub,life form,en
alien-flora-congo-checklist:taxon:2ab0e6606942539ea9b1be7a27203df7,Asia,native range,en
alien-flora-congo-checklist:taxon:2ab0e6606942539ea9b1be7a27203df7,Shrub,life form,en
alien-flora-congo-checklist:taxon:2b108ce689c378e1c39b26f161c92622,America,native range,en
alien-flora-congo-checklist:taxon:2b108ce689c378e1c39b26f161c92622,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:2b7014667dc79af03116a3ab317299d9,America,native range,en
alien-flora-congo-checklist:taxon:2b7014667dc79af03116a3ab317299d9,Annual herb,life form,en
alien-flora-congo-checklist:taxon:2cce516708375252b529af22f44f96ee,Africa,native range,en
alien-flora-congo-checklist:taxon:2cce516708375252b529af22f44f96ee,Shrub,life form,en
alien-flora-congo-checklist:taxon:2d15307ffb1f456c1b40c1ea9abbbe74,America,native range,en
alien-flora-congo-checklist:taxon:2d15307ffb1f456c1b40c1ea9abbbe74,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:2dfe6ed86597ceadf0711aa014e35c0d,Multiple,native range,en
alien-flora-congo-checklist:taxon:2dfe6ed86597ceadf0711aa014e35c0d,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:2e002a33b58d972ab8b659aef4527889,America,native range,en
alien-flora-congo-checklist:taxon:2e002a33b58d972ab8b659aef4527889,Annual herb,life form,en
alien-flora-congo-checklist:taxon:2eb0c36f1046d315d05b431271d0098f,America,native range,en
alien-flora-congo-checklist:taxon:2eb0c36f1046d315d05b431271d0098f,Annual herb,life form,en
alien-flora-congo-checklist:taxon:2ed0fb37d0caa6f7539a1d0b5dab5fee,America,native range,en
alien-flora-congo-checklist:taxon:2ed0fb37d0caa6f7539a1d0b5dab5fee,Annual herb,life form,en
alien-flora-congo-checklist:taxon:3036de13fd0dabb966d47940886981cd,America,native range,en
alien-flora-congo-checklist:taxon:3036de13fd0dabb966d47940886981cd,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:314ce61a24845ae8e2105e198989d864,America,native range,en
alien-flora-congo-checklist:taxon:314ce61a24845ae8e2105e198989d864,Shrub,life form,en
alien-flora-congo-checklist:taxon:31bd84de36bf09e44c75a01c7bd4b63b,America,native range,en
alien-flora-congo-checklist:taxon:31bd84de36bf09e44c75a01c7bd4b63b,Annual herb,life form,en
alien-flora-congo-checklist:taxon:31bf7f512188e683aa227a03356480fd,America,native range,en
alien-flora-congo-checklist:taxon:31bf7f512188e683aa227a03356480fd,Annual herb,life form,en
alien-flora-congo-checklist:taxon:31ed91e4eb6b52b668568394d212cfe5,Africa,native range,en
alien-flora-congo-checklist:taxon:31ed91e4eb6b52b668568394d212cfe5,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:331739cc2c660be27963b0bc1a7121ae,America,native range,en
alien-flora-congo-checklist:taxon:331739cc2c660be27963b0bc1a7121ae,Climber,life form,en
alien-flora-congo-checklist:taxon:336095f6c9ecb297a43e5de2b69f568c,Asia,native range,en
alien-flora-congo-checklist:taxon:336095f6c9ecb297a43e5de2b69f568c,Climber,life form,en
alien-flora-congo-checklist:taxon:336359fdb0fde96daee6bcff00ddd5bc,Africa,native range,en
alien-flora-congo-checklist:taxon:336359fdb0fde96daee6bcff00ddd5bc,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:33910e99c2356b8d6e9fb6ba61535b5e,America,native range,en
alien-flora-congo-checklist:taxon:33910e99c2356b8d6e9fb6ba61535b5e,Annual herb,life form,en
alien-flora-congo-checklist:taxon:33c7f9d28a35bce4a451b690bba2159a,America,native range,en
alien-flora-congo-checklist:taxon:33c7f9d28a35bce4a451b690bba2159a,Annual herb,life form,en
alien-flora-congo-checklist:taxon:35e23633983dd906ada3bcbf1780ff61,Asia,native range,en
alien-flora-congo-checklist:taxon:35e23633983dd906ada3bcbf1780ff61,Tree,life form,en
alien-flora-congo-checklist:taxon:35e2fa01e7eda477d861fe4135605ea5,America,native range,en
alien-flora-congo-checklist:taxon:35e2fa01e7eda477d861fe4135605ea5,Annual herb,life form,en
alien-flora-congo-checklist:taxon:36248f96052a2700c3f7cdfd0b294ff1,Asia,native range,en
alien-flora-congo-checklist:taxon:36248f96052a2700c3f7cdfd0b294ff1,Climber,life form,en
alien-flora-congo-checklist:taxon:363cf2492d2f2ae3f7b106477f8200ed,America,native range,en
alien-flora-congo-checklist:taxon:363cf2492d2f2ae3f7b106477f8200ed,Annual herb,life form,en
alien-flora-congo-checklist:taxon:380dd174ccd032fe884d8a5c95cab719,Asia,native range,en
alien-flora-congo-checklist:taxon:380dd174ccd032fe884d8a5c95cab719,Climber,life form,en
alien-flora-congo-checklist:taxon:3882d0d4465fe7e33a5b8d7cbc2e8acb,Asia,native range,en
alien-flora-congo-checklist:taxon:3882d0d4465fe7e33a5b8d7cbc2e8acb,Tree,life form,en
alien-flora-congo-checklist:taxon:3976e7e528174926e7c2f821843e2635,America,native range,en
alien-flora-congo-checklist:taxon:3976e7e528174926e7c2f821843e2635,Annual herb,life form,en
alien-flora-congo-checklist:taxon:398a6ee18b2b71b5d8c6e3641ea4331a,Multiple,native range,en
alien-flora-congo-checklist:taxon:398a6ee18b2b71b5d8c6e3641ea4331a,Climber,life form,en
alien-flora-congo-checklist:taxon:39bc292c52b46a8ffd6a1080705db038,America,native range,en
alien-flora-congo-checklist:taxon:39bc292c52b46a8ffd6a1080705db038,Climber,life form,en
alien-flora-congo-checklist:taxon:39d9e12cab6561665cb5909b51d9d697,America,native range,en
alien-flora-congo-checklist:taxon:39d9e12cab6561665cb5909b51d9d697,Shrub,life form,en
alien-flora-congo-checklist:taxon:3bcd923b2c508b97f1c7d4433e453058,America,native range,en
alien-flora-congo-checklist:taxon:3bcd923b2c508b97f1c7d4433e453058,Aquatic,life form,en
alien-flora-congo-checklist:taxon:3be8478851f5ee2e443c04cc9ba6d616,Asia,native range,en
alien-flora-congo-checklist:taxon:3be8478851f5ee2e443c04cc9ba6d616,Tree,life form,en
alien-flora-congo-checklist:taxon:3bf69eda1b234213a52c7399891b7f86,America,native range,en
alien-flora-congo-checklist:taxon:3bf69eda1b234213a52c7399891b7f86,Annual herb,life form,en
alien-flora-congo-checklist:taxon:3c9c3536c2bf515e6ad099454bce0020,America,native range,en
alien-flora-congo-checklist:taxon:3c9c3536c2bf515e6ad099454bce0020,Shrub,life form,en
alien-flora-congo-checklist:taxon:3d2e5f825cfec3285b3b2cfa65888967,America,native range,en
alien-flora-congo-checklist:taxon:3d2e5f825cfec3285b3b2cfa65888967,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:3f3ef031c149626bfda6e12110c8c073,America,native range,en
alien-flora-congo-checklist:taxon:3f3ef031c149626bfda6e12110c8c073,Annual herb,life form,en
alien-flora-congo-checklist:taxon:3f8003d5ac9316064878c1165435b463,America,native range,en
alien-flora-congo-checklist:taxon:3f8003d5ac9316064878c1165435b463,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:3f9facd439603069fb7d627a079a7543,Asia,native range,en
alien-flora-congo-checklist:taxon:3f9facd439603069fb7d627a079a7543,Tree,life form,en
alien-flora-congo-checklist:taxon:3f9feb5ce4a9b52418f627c69a2a9f02,America,native range,en
alien-flora-congo-checklist:taxon:3f9feb5ce4a9b52418f627c69a2a9f02,Shrub,life form,en
alien-flora-congo-checklist:taxon:40654a2b00b8327981cf17704e233ed7,America,native range,en
alien-flora-congo-checklist:taxon:40654a2b00b8327981cf17704e233ed7,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:412e87fd2695594efafa5909d9010860,Asia,native range,en
alien-flora-congo-checklist:taxon:412e87fd2695594efafa5909d9010860,Shrub,life form,en
alien-flora-congo-checklist:taxon:41fd8bc2120a23527a2b9eb90e1fe8e4,Asia,native range,en
alien-flora-congo-checklist:taxon:41fd8bc2120a23527a2b9eb90e1fe8e4,Annual herb,life form,en
alien-flora-congo-checklist:taxon:420366531e64af111edf84fb70373368,America,native range,en
alien-flora-congo-checklist:taxon:420366531e64af111edf84fb70373368,Shrub,life form,en
alien-flora-congo-checklist:taxon:42f139e6bb3e7cb482596b66d307153f,America,native range,en
alien-flora-congo-checklist:taxon:42f139e6bb3e7cb482596b66d307153f,Shrub,life form,en
alien-flora-congo-checklist:taxon:43791e98a2cdbf09616d4c035c431841,America,native range,en
alien-flora-congo-checklist:taxon:43791e98a2cdbf09616d4c035c431841,Climber,life form,en
alien-flora-congo-checklist:taxon:439e2b8131c5d27ee52626503784354b,America,native range,en
alien-flora-congo-checklist:taxon:439e2b8131c5d27ee52626503784354b,Tree,life form,en
alien-flora-congo-checklist:taxon:4434a302bb0ee261820a10aa93564a51,America,native range,en
alien-flora-congo-checklist:taxon:4434a302bb0ee261820a10aa93564a51,Annual herb,life form,en
alien-flora-congo-checklist:taxon:450090b3a6c279822037de4170a2d6bc,America,native range,en
alien-flora-congo-checklist:taxon:450090b3a6c279822037de4170a2d6bc,Annual herb,life form,en
alien-flora-congo-checklist:taxon:453566ae780b51e88097cfb4258532df,America,native range,en
alien-flora-congo-checklist:taxon:453566ae780b51e88097cfb4258532df,Tree,life form,en
alien-flora-congo-checklist:taxon:466bef80327eef4c3c67630b0592d40d,Asia,native range,en
alien-flora-congo-checklist:taxon:466bef80327eef4c3c67630b0592d40d,Climber,life form,en
alien-flora-congo-checklist:taxon:46beacea776dbfedadcf8c24fac185b3,Multiple,native range,en
alien-flora-congo-checklist:taxon:46beacea776dbfedadcf8c24fac185b3,Climber,life form,en
alien-flora-congo-checklist:taxon:48ab6deb0fe59c0607e62c9727c7708d,America,native range,en
alien-flora-congo-checklist:taxon:48ab6deb0fe59c0607e62c9727c7708d,Annual herb,life form,en
alien-flora-congo-checklist:taxon:48c37b493aca00a8b72a1e3d201a0ee4,America,native range,en
alien-flora-congo-checklist:taxon:48c37b493aca00a8b72a1e3d201a0ee4,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:49659ca19e90544ab252471f9cdc891e,America,native range,en
alien-flora-congo-checklist:taxon:49659ca19e90544ab252471f9cdc891e,Climber,life form,en
alien-flora-congo-checklist:taxon:4bb6c2fd4edcc3d805d4e8043cc89411,America,native range,en
alien-flora-congo-checklist:taxon:4bb6c2fd4edcc3d805d4e8043cc89411,Shrub,life form,en
alien-flora-congo-checklist:taxon:4beb46e5601ea334cbb282a40c370e1c,America,native range,en
alien-flora-congo-checklist:taxon:4beb46e5601ea334cbb282a40c370e1c,Annual herb,life form,en
alien-flora-congo-checklist:taxon:4c563c646598ffae73ed0469e35c13bd,America,native range,en
alien-flora-congo-checklist:taxon:4c563c646598ffae73ed0469e35c13bd,Annual herb,life form,en
alien-flora-congo-checklist:taxon:4da415beb68acfa8bb1c31de1e8379ed,America,native range,en
alien-flora-congo-checklist:taxon:4da415beb68acfa8bb1c31de1e8379ed,Climber,life form,en
alien-flora-congo-checklist:taxon:4dd2d73d3c6db823e96f8e8b34f4f571,America,native range,en
alien-flora-congo-checklist:taxon:4dd2d73d3c6db823e96f8e8b34f4f571,Shrub,life form,en
alien-flora-congo-checklist:taxon:4df8d83f74d0820981e5683716933863,Africa,native range,en
alien-flora-congo-checklist:taxon:4df8d83f74d0820981e5683716933863,Annual herb,life form,en
alien-flora-congo-checklist:taxon:4e29ae384dd936177d526f737bc0923f,America,native range,en
alien-flora-congo-checklist:taxon:4e29ae384dd936177d526f737bc0923f,Annual herb,life form,en
alien-flora-congo-checklist:taxon:4e99a0e429b89672d7526493140b6899,America,native range,en
alien-flora-congo-checklist:taxon:4e99a0e429b89672d7526493140b6899,Annual herb,life form,en
alien-flora-congo-checklist:taxon:4e9af5b2c0b3bb9455ee3a45a7ad3125,America,native range,en
alien-flora-congo-checklist:taxon:4e9af5b2c0b3bb9455ee3a45a7ad3125,Annual herb,life form,en
alien-flora-congo-checklist:taxon:4fb9c7f0c8c24bcccfd25d084e0a4a4c,America,native range,en
alien-flora-congo-checklist:taxon:4fb9c7f0c8c24bcccfd25d084e0a4a4c,Perennial herb,life form,en
alien-flora-congo-checklist:taxon:50006802a1a75b2a708d00850ba68b4a,Africa,native range,en
alien-flora-congo-checklist:taxon:50006802a1a75b2a708d00850ba68b4a,Annual herb,life form,en
alien-flora-congo-checklist:taxon:512b711fe714b61e9a83865626ecf6fb,Multiple,native range,en
alien-flora-congo-checklist:taxon:512b711fe714b61e9a83865626ecf6fb,Annual herb,life form,en
alien-flora-congo-checklist:taxon:51771e216a581752815f98cd482a04dc,America,native range,en
alien-flora-congo-checklist:taxon:51771e216a581752815f98cd482a04dc,Perennial herb,life form,en
